FinalID,MaxTol,SAFIT1,SAFIT2,Class,Order,FunctionalFeedingGroup,subfamily,CustomSTE
Agabus bjorkmanae,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus brevicollis,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus canadensis,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus confertus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus cordatus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus discors,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus disintegratus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus erichsoni,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus euryomus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus griseipennis,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus hoppingi,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus hypomelas,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus ilybiiformis,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus jimzim,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus klamathensis,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus kootenai,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus lineelus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus lugens,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus lutosus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus minnesotensis,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus morosus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus obliteratus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus oblongulus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus obsoletus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus pandurus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus perplexus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus pisobius,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus punctulatus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus regularis,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus roguus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus rumppi,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus sasquatch,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus semipunctatus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus semivittatus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus seriatus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus smithi,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus strigulosus,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus tristis,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus vancouverensis,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus vandykei,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus versimilis,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agabus walsinghami,8,Agabus,Agabus,Insecta,Coleoptera,P,Colymbetinae,Agabus
Agapetus,0,Agapetus,Agapetus,Insecta,Trichoptera,SC,,Agapetus
Agapetus arcita,0,Agapetus,Agapetus,Insecta,Trichoptera,SC,,Agapetus
Agapetus bifidus,0,Agapetus,Agapetus,Insecta,Trichoptera,SC,,Agapetus
Agapetus boulderensis,0,Agapetus,Agapetus,Insecta,Trichoptera,SC,,Agapetus
Agapetus celatus,0,Agapetus,Agapetus,Insecta,Trichoptera,SC,,Agapetus
Agapetus cornutus,0,Agapetus,Agapetus,Insecta,Trichoptera,SC,,Agapetus
