FinalID,MaxTol,SAFIT1,SAFIT2,Class,Order,FunctionalFeedingGroup,subfamily,CustomSTE
Claassenia sabulosa,3,Claassenia sabulosa,Claassenia sabulosa,Insecta,Plecoptera,P,,Claassenia sabulosa
Cladocera,8,Cladocera,Cladocera,Branchiopoda,Cladocera,CF,,Cladocera
Cladopelma,9,Chironomidae,Cladopelma,Insecta,Diptera,CG,Chironominae,Chironominae
Cladopelma amachaerum,9,Chironomidae,Cladopelma,Insecta,Diptera,CG,Chironominae,Chironominae
Cladopelma edwardsi,9,Chironomidae,Cladopelma,Insecta,Diptera,CG,Chironominae,Chironominae
Cladopelma forcipis,9,Chironomidae,Cladopelma,Insecta,Diptera,CG,Chironominae,Chironominae
Cladopelma viridulum,9,Chironomidae,Cladopelma,Insecta,Diptera,CG,Chironominae,Chironominae
Cladotanytarsus,7,Chironomidae,Cladotanytarsus,Insecta,Diptera,CG,Chironominae,Chironominae
Cladotanytarsus marki,7,Chironomidae,Cladotanytarsus,Insecta,Diptera,CG,Chironominae,Chironominae
Cladotanytarsus viridiventris,7,Chironomidae,Cladotanytarsus,Insecta,Diptera,CG,Chironominae,Chironominae
Clathrosperchon,NA,Clathrosperchon,Clathrosperchon,Arachnida,Trombidiformes,P,,Clathrosperchon
Cleptelmis,4,Cleptelmis,Cleptelmis,Insecta,Coleoptera,CG,,Cleptelmis
Cleptelmis addenda,4,Cleptelmis addenda,Cleptelmis addenda,Insecta,Coleoptera,CG,,Cleptelmis addenda
Climacia,NA,Climacia,Climacia,Insecta,Neuroptera,P,,Climacia
Climacia californica,NA,Climacia,Climacia,Insecta,Neuroptera,P,,Climacia
Clinocera,6,Clinocera,Clinocera,Insecta,Diptera,P,,Clinocera
Clinocerinae,6,Empididae,Empididae,Insecta,Diptera,P,Clinocerinae,Empididae
Clinotanypus,8,Chironomidae,Clinotanypus,Insecta,Diptera,P,Tanypodinae,Tanypodinae
Clinotanypus pinguis,8,Chironomidae,Clinotanypus,Insecta,Diptera,P,Tanypodinae,Tanypodinae
Clistoronia,4,Clistoronia,Clistoronia,Insecta,Trichoptera,SH,,Clistoronia
Clistoronia formosa,4,Clistoronia,Clistoronia,Insecta,Trichoptera,SH,,Clistoronia
Clistoronia maculata,4,Clistoronia,Clistoronia,Insecta,Trichoptera,SH,,Clistoronia
Clistoronia magnifica,4,Clistoronia,Clistoronia,Insecta,Trichoptera,SH,,Clistoronia
Cloeodes,4,Cloeodes,Cloeodes,Insecta,Ephemeroptera,CG,,Cloeodes
Cloeodes excogitatus,4,Cloeodes excogitatus,Cloeodes excogitatus,Insecta,Ephemeroptera,CG,,Cloeodes excogitatus
Cloeodes macrolamellus,4,Cloeodes,Cloeodes,Insecta,Ephemeroptera,CG,,Cloeodes
Cloeodes peninsulus,4,Cloeodes,Cloeodes,Insecta,Ephemeroptera,CG,,Cloeodes
Clostoeca,4,Clostoeca,Clostoeca,Insecta,Trichoptera,SH,,Clostoeca
Clostoeca disjuncta,4,Clostoeca disjuncta,Clostoeca disjuncta,Insecta,Trichoptera,SH,,Clostoeca disjuncta
Clunio,5,Chironomidae,Clunio,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Clunio californiensis,5,Chironomidae,Clunio,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Coenagrion,7,Coenagrion,Coenagrion,Insecta,Odonata,P,,Coenagrion
Coenagrion resolutum,7,Coenagrion resolutum,Coenagrion resolutum,Insecta,Odonata,P,,Coenagrion resolutum
Coenagrionidae,9,Coenagrionidae,Coenagrionidae,Insecta,Odonata,P,,Coenagrionidae
Coleoptera,NA,Coleoptera,Coleoptera,Insecta,Coleoptera,P,,Coleoptera
Colymbetes,5,Colymbetes,Colymbetes,Insecta,Coleoptera,P,Colymbetinae,Colymbetes
Colymbetes crotchi,5,Colymbetes,Colymbetes,Insecta,Coleoptera,P,Colymbetinae,Colymbetes
Colymbetes densus,5,Colymbetes,Colymbetes,Insecta,Coleoptera,P,Colymbetinae,Colymbetes
Colymbetes incognitus,5,Colymbetes,Colymbetes,Insecta,Coleoptera,P,Colymbetinae,Colymbetes
Colymbetes strigatus,5,Colymbetes,Colymbetes,Insecta,Coleoptera,P,Colymbetinae,Colymbetes
Colymbetinae,5,Colymbetinae,Colymbetinae,Insecta,Coleoptera,P,Colymbetinae,Colymbetinae
Conchapelopia,6,Chironomidae,Conchapelopia,Insecta,Diptera,P,Tanypodinae,Tanypodinae
Conchapelopia mera,6,Chironomidae,Conchapelopia,Insecta,Diptera,P,Tanypodinae,Tanypodinae
Conchapelopia pallens,6,Chironomidae,Conchapelopia,Insecta,Diptera,P,Tanypodinae,Tanypodinae
Constempellina,4,Chironomidae,Constempellina,Insecta,Diptera,CG,Chironominae,Chironominae
Copelatinae,5,Copelatinae,Copelatinae,Insecta,Coleoptera,P,Copelatinae,Copelatinae
Copelatus,5,Copelatus,Copelatus,Insecta,Coleoptera,P,Copelatinae,Copelatus
Copelatus chevrolati,5,Copelatus,Copelatus,Insecta,Coleoptera,P,Copelatinae,Copelatus
Copelatus glyphicus,5,Copelatus,Copelatus,Insecta,Coleoptera,P,Copelatinae,Copelatus
Copepoda,8,Copepoda,Copepoda,Copepoda,,CG,,Copepoda
Coptotomus,5,Coptotomus,Coptotomus,Insecta,Coleoptera,P,Colymbetinae,Coptotomus
Coptotomus longulus,5,Coptotomus longulus,Coptotomus longulus,Insecta,Coleoptera,P,Colymbetinae,Coptotomus longulus
Corbicula,8,Corbicula,Corbicula,Bivalvia,Veneroida,CF,,Corbicula
Corbicula fluminea,10,Corbicula,Corbicula,Bivalvia,Veneroida,CF,,Corbicula
Corbicula manilensis,NA,Corbicula,Corbicula,Bivalvia,Veneroida,CF,,Corbicula
Corbiculidae,10,Corbiculidae,Corbiculidae,Bivalvia,Veneroida,CF,,Corbiculidae
Cordulegaster,3,Cordulegaster,Cordulegaster,Insecta,Odonata,P,,Cordulegaster
Cordulegaster diadema,3,Cordulegaster,Cordulegaster,Insecta,Odonata,P,,Cordulegaster
Cordulegaster dorsalis,3,Cordulegaster dorsalis,Cordulegaster dorsalis,Insecta,Odonata,P,,Cordulegaster dorsalis
Cordulegastridae,3,Cordulegastridae,Cordulegastridae,Insecta,Odonata,P,,Cordulegastridae
Cordulia,2,Cordulia,Cordulia,Insecta,Odonata,P,,Cordulia
Cordulia shurtleffii,2,Cordulia shurtleffii,Cordulia shurtleffii,Insecta,Odonata,P,,Cordulia shurtleffii
Corduliidae,2,Corduliidae,Corduliidae,Insecta,Odonata,P,,Corduliidae
Corisella,8,Corisella,Corisella,Insecta,Hemiptera,P,,Corisella
Corisella decolor,8,Corisella,Corisella,Insecta,Hemiptera,P,,Corisella
Corisella edulis,8,Corisella,Corisella,Insecta,Hemiptera,P,,Corisella
Corisella inscripta,10,Corisella,Corisella,Insecta,Hemiptera,P,,Corisella
Corisella tarsalis,8,Corisella,Corisella,Insecta,Hemiptera,P,,Corisella
Corixidae,8,Corixidae,Corixidae,Insecta,Hemiptera,P,,Corixidae
Corophiidae,4,Corophiidae,Corophiidae,Malacostraca,Amphipoda,CF,,Corophiidae
Corticacarus,8,Corticacarus,Corticacarus,Arachnida,Trombidiformes,P,,Corticacarus
Corydalidae,0,Corydalidae,Corydalidae,Insecta,Megaloptera,P,,Corydalidae
Corydalus,0,Corydalus,Corydalus,Insecta,Megaloptera,P,,Corydalus
Corydalus bidenticulatus,0,Corydalus,Corydalus,Insecta,Megaloptera,P,,Corydalus
Corydalus texanus,0,Corydalus,Corydalus,Insecta,Megaloptera,P,,Corydalus
Corynoneura,7,Chironomidae,Corynoneura,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cosumnoperla,2,Cosumnoperla,Cosumnoperla,Insecta,Plecoptera,P,,Cosumnoperla
Cosumnoperla hypocrena,2,Cosumnoperla,Cosumnoperla,Insecta,Plecoptera,P,,Cosumnoperla
Cosumnoperla sequoia,2,Cosumnoperla,Cosumnoperla,Insecta,Plecoptera,P,,Cosumnoperla
Crangonyctidae,4,Crangonyctidae,Crangonyctidae,Malacostraca,Amphipoda,CG,,Crangonyctidae
Crangonyx,4,Crangonyx,Crangonyx,Malacostraca,Amphipoda,CG,,Crangonyx
Crenitis,5,Crenitis,Crenitis,Insecta,Coleoptera,CG,,Crenitis
Crenitis,5,Crenitis,Crenitis,Insecta,Coleoptera,P,,Crenitis
Crenitis alticola,5,Crenitis,Crenitis,Insecta,Coleoptera,P,,Crenitis
Crenitis alticola,5,Crenitis,Crenitis,Insecta,Coleoptera,CG,,Crenitis
Crenitis dissimilis,5,Crenitis,Crenitis,Insecta,Coleoptera,P,,Crenitis
Crenitis dissimilis,5,Crenitis,Crenitis,Insecta,Coleoptera,CG,,Crenitis
Crenitis malkini,5,Crenitis,Crenitis,Insecta,Coleoptera,P,,Crenitis
Crenitis malkini,5,Crenitis,Crenitis,Insecta,Coleoptera,CG,,Crenitis
Crenitis morata,5,Crenitis,Crenitis,Insecta,Coleoptera,CG,,Crenitis
Crenitis morata,5,Crenitis,Crenitis,Insecta,Coleoptera,P,,Crenitis
Crenitis palpalis,5,Crenitis,Crenitis,Insecta,Coleoptera,CG,,Crenitis
Crenitis palpalis,5,Crenitis,Crenitis,Insecta,Coleoptera,P,,Crenitis
Crenitis paradigma,5,Crenitis,Crenitis,Insecta,Coleoptera,P,,Crenitis
Crenitis paradigma,5,Crenitis,Crenitis,Insecta,Coleoptera,CG,,Crenitis
Crenitis rufiventris,5,Crenitis,Crenitis,Insecta,Coleoptera,CG,,Crenitis
Crenitis rufiventris,5,Crenitis,Crenitis,Insecta,Coleoptera,P,,Crenitis
Crenitis seriellus,5,Crenitis,Crenitis,Insecta,Coleoptera,CG,,Crenitis
Crenitis seriellus,5,Crenitis,Crenitis,Insecta,Coleoptera,P,,Crenitis
Crenitis snoqualmie,5,Crenitis,Crenitis,Insecta,Coleoptera,CG,,Crenitis
Crenitis snoqualmie,5,Crenitis,Crenitis,Insecta,Coleoptera,P,,Crenitis
Crenophylax,3,Crenophylax,Crenophylax,Insecta,Trichoptera,SH,,Crenophylax
Crenophylax sperryi,3,Crenophylax sperryi,Crenophylax sperryi,Insecta,Trichoptera,SH,,Crenophylax sperryi
Cricotopus,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus absurdus,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus annulator,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus bicinctus,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus bicinctus group,7,Chironomidae,Cricotopus bicinctus group,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus bifurcatus,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus blinni,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus edurus,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus furtivus,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus fuscatus,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus globistylus,7,Chironomidae,Cricotopus,Insecta,Diptera,cg,Orthocladiinae,Orthocladiinae
Cricotopus herrmanni,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus infuscatus,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus lestralis,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus nostocicola,7,Chironomidae,Cricotopus nostocicola,Insecta,Diptera,SH,Orthocladiinae,Orthocladiinae
Cricotopus obscurifuscus,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus ornatus,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus parafuscatus,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus subfuscus,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus subletteorum,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus sylvestris,7,Chironomidae,Cricotopus,Insecta,Diptera,OM,Orthocladiinae,Orthocladiinae
Cricotopus tremulus,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus trifascia,7,Chironomidae,Cricotopus,Insecta,Diptera,SH,Orthocladiinae,Orthocladiinae
Cricotopus trifascia group,7,Chironomidae,Cricotopus trifascia group,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus varipes,7,Chironomidae,Cricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
Cricotopus/ Orthocladius,NA,Chironomidae,Cricotopus/ Orthocladius,Insecta,Diptera,SH,Orthocladiinae,Orthocladiinae
Cryptochia,0,Cryptochia,Cryptochia,Insecta,Trichoptera,SH,,Cryptochia
Cryptochia califca,0,Cryptochia,Cryptochia,Insecta,Trichoptera,SH,,Cryptochia
Cryptochia denningi,0,Cryptochia,Cryptochia,Insecta,Trichoptera,SH,,Cryptochia
Cryptochia excella,0,Cryptochia,Cryptochia,Insecta,Trichoptera,SH,,Cryptochia
Cryptochia furcata,0,Cryptochia,Cryptochia,Insecta,Trichoptera,SH,,Cryptochia
Cryptochia neosa,0,Cryptochia,Cryptochia,Insecta,Trichoptera,SH,,Cryptochia
Cryptochia pilosa,0,Cryptochia,Cryptochia,Insecta,Trichoptera,SH,,Cryptochia
Cryptochia shasta,0,Cryptochia,Cryptochia,Insecta,Trichoptera,SH,,Cryptochia
Cryptochironomus,8,Chironomidae,Cryptochironomus,Insecta,Diptera,P,Chironominae,Chironominae
Cryptochironomus curryi,8,Chironomidae,Cryptochironomus,Insecta,Diptera,P,Chironominae,Chironominae
Cryptochironomus digitatus,8,Chironomidae,Cryptochironomus,Insecta,Diptera,P,Chironominae,Chironominae
Cryptochironomus fulvus,8,Chironomidae,Cryptochironomus,Insecta,Diptera,P,Chironominae,Chironominae
Cryptochironomus ponderosus,8,Chironomidae,Cryptochironomus,Insecta,Diptera,P,Chironominae,Chironominae
Cryptochironomus psittacinus,8,Chironomidae,Cryptochironomus,Insecta,Diptera,P,Chironominae,Chironominae
Cryptolabis,3,Cryptolabis,Cryptolabis,Insecta,Diptera,SH,Limoniinae,Cryptolabis
Cryptotendipes,6,Chironomidae,Cryptotendipes,Insecta,Diptera,CG,Chironominae,Chironominae
Cryptotendipes ariel,6,Chironomidae,Cryptotendipes,Insecta,Diptera,CG,Chironominae,Chironominae
Cryptotendipes darbyi,6,Chironomidae,Cryptotendipes,Insecta,Diptera,CG,Chironominae,Chironominae
Culex,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex anips,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex apicalis,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex arizonensis,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex boharti,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex coronator,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex erythrothorax,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex interrogator,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex pipiens,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex quinquefasciatus,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex reevesi,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex restuans,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex salinarius,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex stigmatosoma,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex tarsalis,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex territans,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culex thriambus,8,Culex,Culex,Insecta,Diptera,CG,,Culex
Culicidae,8,Culicidae,Culicidae,Insecta,Diptera,CG,,Culicidae
Culicoides,6,Culicoides,Culicoides,Insecta,Diptera,P,Ceratopogoninae,Culicoides
Culiseta,8,Culiseta,Culiseta,Insecta,Diptera,CG,,Culiseta
Culiseta impatiens,8,Culiseta,Culiseta,Insecta,Diptera,CG,,Culiseta
Culiseta incidens,8,Culiseta,Culiseta,Insecta,Diptera,CG,,Culiseta
Culiseta inornata,8,Culiseta,Culiseta,Insecta,Diptera,CG,,Culiseta
Culiseta minnesotae,8,Culiseta,Culiseta,Insecta,Diptera,CG,,Culiseta
Culiseta morsitans,8,Culiseta,Culiseta,Insecta,Diptera,CG,,Culiseta
Culiseta particeps,8,Culiseta,Culiseta,Insecta,Diptera,CG,,Culiseta
Culoptila,2,Culoptila,Culoptila,Insecta,Trichoptera,SC,,Culoptila
Culoptila cantha,2,Culoptila,Culoptila,Insecta,Trichoptera,SC,,Culoptila
Culoptila kimminsi,2,Culoptila,Culoptila,Insecta,Trichoptera,SC,,Culoptila
Culoptila moselyi,2,Culoptila,Culoptila,Insecta,Trichoptera,SC,,Culoptila
Culoptila thoracica,2,Culoptila,Culoptila,Insecta,Trichoptera,SC,,Culoptila
Cultus,2,Cultus,Cultus,Insecta,Plecoptera,P,,Cultus
Cultus aestivalis,2,Cultus,Cultus,Insecta,Plecoptera,P,,Cultus
Cultus pilatus,2,Cultus,Cultus,Insecta,Plecoptera,P,,Cultus
Cultus tostonus,2,Cultus,Cultus,Insecta,Plecoptera,P,,Cultus
Cura,4,Turbellaria,Turbellaria,Turbellaria,Tricladida,OM,,Turbellaria
Curculionidae,NA,Curculionidae,Curculionidae,Insecta,Coleoptera,SH,,Curculionidae
Curicta,NA,Curicta,Curicta,Insecta,Hemiptera,P,,Curicta
Curicta pronotata,NA,Curicta,Curicta,Insecta,Hemiptera,P,,Curicta
Cyathura,NA,Cyathura,Cyathura,Malacostraca,Isopoda,CG,,Cyathura
Cyathura polita,NA,Cyathura,Cyathura,Malacostraca,Isopoda,CG,,Cyathura
Cybister,5,Cybister,Cybister,Insecta,Coleoptera,P,Dytiscinae,Cybister
Cybister ellipticus,5,Cybister,Cybister,Insecta,Coleoptera,P,Dytiscinae,Cybister
Cybister explanatus,5,Cybister,Cybister,Insecta,Coleoptera,P,Dytiscinae,Cybister
Cyclopidae,8,Cyclopidae,Cyclopidae,Copepoda,Cyclopoida,CG,,Cyclopidae
Cyclopoida,8,Cyclopoida,Cyclopoida,Copepoda,Cyclopoida,CF,,Cyclopoida
Cyclothyas,5,Cyclothyas,Cyclothyas,Arachnida,Trombidiformes,P,,Cyclothyas
Cylloepus,4,Cylloepus,Cylloepus,Insecta,Coleoptera,CG,,Cylloepus
Cylloepus abnormis,4,Cylloepus,Cylloepus,Insecta,Coleoptera,CG,,Cylloepus
Cylloepus parkeri,4,Cylloepus,Cylloepus,Insecta,Coleoptera,CG,,Cylloepus
Cymbiodyta,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta acuminata,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta acuminata,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta arizonica,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta arizonica,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta columbiana,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta columbiana,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta dorsalis,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta dorsalis,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta fraterculus,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta fraterculus,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta howdeni,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta howdeni,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta imbellis,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta imbellis,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta leechi,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta leechi,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta minima,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta minima,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta occidentalis,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta occidentalis,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta pacifica,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta pacifica,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta pseudopacifica,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta pseudopacifica,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta puella,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta puella,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta punctatostriata,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta punctatostriata,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta seriata,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cymbiodyta seriata,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta vindicata,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,CG,,Cymbiodyta
Cymbiodyta vindicata,5,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,P,,Cymbiodyta
Cyphon,7,Cyphon,Cyphon,Insecta,Coleoptera,SC,,Cyphon
Cyphon arcuatus,7,Cyphon,Cyphon,Insecta,Coleoptera,SC,,Cyphon
Cyphon brevicollis,7,Cyphon,Cyphon,Insecta,Coleoptera,SC,,Cyphon
Cyphon exiguus,7,Cyphon,Cyphon,Insecta,Coleoptera,SC,,Cyphon
Cyphon johni,7,Cyphon,Cyphon,Insecta,Coleoptera,SC,,Cyphon
Cyphon spinulosus,7,Cyphon,Cyphon,Insecta,Coleoptera,SC,,Cyphon
Cyphon variabilis,7,Cyphon,Cyphon,Insecta,Coleoptera,SC,,Cyphon
Cyprididae,8,Ostracoda,Podocopida,Ostracoda,Podocopida,CG,,Ostracoda
Daphnia,8,Daphniidae,Daphniidae,Malacostraca,Cladocera,CF,,Daphniidae
Daphniidae,8,Daphniidae,Daphniidae,Branchiopoda,Cladocera,CF,,Daphniidae
Dasyhelea,6,Dasyhelea,Dasyhelea,Insecta,Diptera,CG,Dasyheleinae,Dasyhelea
Dasyheleinae,6,Ceratopogonidae,Ceratopogonidae,Insecta,Diptera,P,Dasyheleinae,Ceratopogonidae
Decapoda,8,Decapoda,Decapoda,Malacostraca,Decapoda,SH,,Decapoda
Demicryptochironomus,6,Chironomidae,Demicryptochironomus,Insecta,Diptera,CG,Chironominae,Chironominae
Dero,10,Oligochaeta,Oligochaeta,Oligochaeta,Tubificida,CG,,Oligochaeta
Dero borellii,10,Oligochaeta,Oligochaeta,Oligochaeta,Tubificida,CG,,Oligochaeta
Dero digitata,10,Oligochaeta,Oligochaeta,Oligochaeta,Tubificida,CG,,Oligochaeta
Dero nivea,10,Oligochaeta,Oligochaeta,Oligochaeta,Tubificida,CG,,Oligochaeta
Derotanypus,7,Chironomidae,Derotanypus,Insecta,Diptera,P,Tanypodinae,Tanypodinae
Derotanypus aclines,7,Chironomidae,Derotanypus,Insecta,Diptera,P,Tanypodinae,Tanypodinae
Desmona,1,Desmona,Desmona,Insecta,Trichoptera,SH,,Desmona
Desmona bethula,1,Desmona,Desmona bethula,Insecta,Trichoptera,SH,,Desmona
Desmona mono,1,Desmona,Desmona mono,Insecta,Trichoptera,SH,,Desmona
Desmopachria,5,Desmopachria,Desmopachria,Insecta,Coleoptera,P,Hydroporinae,Desmopachria
Desmopachria convexa,5,Desmopachria,Desmopachria,Insecta,Coleoptera,P,Hydroporinae,Desmopachria
Desmopachria dispersa,5,Desmopachria,Desmopachria,Insecta,Coleoptera,P,Hydroporinae,Desmopachria
Desmopachria latissima,5,Desmopachria,Desmopachria,Insecta,Coleoptera,P,Hydroporinae,Desmopachria
Desmopachria mexicana,5,Desmopachria,Desmopachria,Insecta,Coleoptera,P,Hydroporinae,Desmopachria
Desmopachria portmanni,5,Desmopachria,Desmopachria,Insecta,Coleoptera,P,Hydroporinae,Desmopachria
Despaxia,0,Despaxia,Despaxia,Insecta,Plecoptera,SH,,Despaxia
Despaxia augusta,0,Despaxia augusta,Despaxia augusta,Insecta,Plecoptera,SH,,Despaxia augusta
Deuterophlebia,0,Deuterophlebia,Deuterophlebia,Insecta,Diptera,SC,,Deuterophlebia
Deuterophlebia coloradensis,0,Deuterophlebia,Deuterophlebia,Insecta,Diptera,SC,,Deuterophlebia
Deuterophlebia inyoensis,0,Deuterophlebia,Deuterophlebia,Insecta,Diptera,SC,,Deuterophlebia
Deuterophlebia nielsoni,0,Deuterophlebia,Deuterophlebia,Insecta,Diptera,SC,,Deuterophlebia
Deuterophlebia personata,0,Deuterophlebia,Deuterophlebia,Insecta,Diptera,SC,,Deuterophlebia
Deuterophlebia shasta,0,Deuterophlebia,Deuterophlebia,Insecta,Diptera,SC,,Deuterophlebia
Deuterophlebia vernalis,0,Deuterophlebia,Deuterophlebia,Insecta,Diptera,SC,,Deuterophlebia
Deuterophlebiidae,0,Deuterophlebiidae,Deuterophlebiidae,Insecta,Diptera,SC,,Deuterophlebiidae
Diamesa,5,Chironomidae,Diamesa,Insecta,Diptera,CG,Diamesinae,Diamesinae
Diamesa aberrata,5,Chironomidae,Diamesa,Insecta,Diptera,CG,Diamesinae,Diamesinae
Diamesa amplexivirilia,5,Chironomidae,Diamesa,Insecta,Diptera,CG,Diamesinae,Diamesinae
Diamesa ancysta,5,Chironomidae,Diamesa,Insecta,Diptera,CG,Diamesinae,Diamesinae
Diamesa chorea,5,Chironomidae,Diamesa,Insecta,Diptera,CG,Diamesinae,Diamesinae
Diamesa davisi,5,Chironomidae,Diamesa,Insecta,Diptera,CG,Diamesinae,Diamesinae
